trackName,artist
Sleep,Godspeed You! Black Emperor
Like Antennas To Heavenâ€¦,Godspeed You! Black Emperor
Weird Fishes/ Arpeggi,Radiohead
Reckoner,Radiohead
The Creator Has A Master Plan,Pharoah Sanders
u,Kendrick Lamar
Alright,Kendrick Lamar
How Much A Dollar Cost,Kendrick Lamar
"Sing About Me, I'm Dying Of Thirst",Kendrick Lamar
Dogs,Pink Floyd
Time,Pink Floyd
Money,Pink Floyd
The Great Gig in the Sky,Pink Floyd
Us and Them,Pink Floyd
Shhh / Peaceful,Miles Davis
One More Time,Daft Punk
Something About Us,Daft Punk
"Harder, Better, Faster, Stronger",Daft Punk
Aquemini,Outkast
SpottieOttieDopaliscious,Outkast
Da Art of Storytellin' (Pt. 1),Outkast
Nag Champa (Afrodisiac For The World),Common
The Light,Common
Inner City Blues (Make Me Wanna Holler),Marvin Gaye
What's Happening Brother,Marvin Gaye
ETOH,The Avalanches
Devil In A New Dress,Kanye West
Runaway,Kanye West
Satelllliiiiiiiteee,Flying Lotus
"Feedbacker, Pt. 2",Boris
To Zion (feat. Carlos Santana),Ms. Lauryn Hill
Lost Ones,Ms. Lauryn Hill
"Git Up, Git Out (feat. Goodie Mob)",Outkast
Hootie Hoo,Outkast
Player's Ball,Outkast
Ms. Fat Booty,Mos Def
May-December,Mos Def
Diagonals,Stereolab
Brakhage,Stereolab
LONG SEASON - Live,Fishmans
sea of cloud,Nujabes
Feather (feat. Cise Starr & Akin from CYNE),Nujabes
reflection eternal,Nujabes
Rue The Whirl,Boards of Canada
Aquarius,Boards of Canada
Xtal,Aphex Twin
Pulsewidth,Aphex Twin
Ageispolis,Aphex Twin
For Reverend Green,Animal Collective
Fireworks,Animal Collective
Shine On You Crazy Diamond (Pts. 1-5),Pink Floyd
Wish You Were Here,Pink Floyd
Freeee (Ghost Town Pt. 2),KIDS SEE GHOSTS
Feel The Love,KIDS SEE GHOSTS
Open Eye Signal,Jon Hopkins
Collider,Jon Hopkins
Feel No Pain,Sade
No Ordinary Love,Sade
Kiss of Life,Sade
Banshee Beat,Animal Collective
The Purple Bottle,Animal Collective
Grass,Animal Collective
Did You See The Words,Animal Collective
Loch Raven,Animal Collective
Turn Into Something,Animal Collective
Sucka Nigga,A Tribe Called Quest
Oh My God,A Tribe Called Quest
"The Chase, Part II",A Tribe Called Quest
Yeah - bonus,Mac Miller
Diablo,Mac Miller
Here We Go,Mac Miller
Accordion,Madvillain
Fancy Clown,Madvillain
Rhinestone Cowboy,Madvillain
Eye,Madvillain
Father Stretch My Hands Pt. 1,Kanye West
Saint Pablo,Kanye West
30 Hours,Kanye West
Real Friends,Kanye West
These Chains,Mid-Air Thief
The Herald,Comus
Reel Life - Evolution II,The Cinematic Orchestra
Man With The Movie Camera,The Cinematic Orchestra
